supercontig,mic_beg,mic_end,IES_ID,IES_size
supercont2.1,25533,39239,IES-00001-r14,13707
supercont2.1,40362,41276,IES-00002-r15,915
supercont2.1,44717,49461,IES-00003-r17,4745
supercont2.1,111380,112439,IES-00004-r13,1060
supercont2.1,121285,122598,IES-00005-r6,1314
supercont2.1,170217,172078,IES-00006-r16,1862
supercont2.1,182376,184622,IES-00007-r16,2247
supercont2.1,199110,202324,IES-00008-r18,3215
supercont2.1,266672,268684,IES-00009-r7,2013
supercont2.1,303613,305758,IES-00010-r19,2146
supercont2.1,316111,317084,IES-00011-r15,974
supercont2.1,359094,360638,IES-00012-r11,1545
supercont2.1,364598,365358,IES-00013-r15,761
supercont2.1,390209,391566,IES-00014-r14,1358
supercont2.1,394666,397551,IES-00015-r12,2886
supercont2.1,418899,420246,IES-00016-r10,1348
supercont2.1,427139,428083,IES-00017-r16,945
supercont2.1,433920,435251,IES-00018-r12,1332
supercont2.1,442790,444529,IES-00019-r13,1740
supercont2.1,467382,469309,IES-00020-r18,1928
supercont2.1,474644,474956,IES-00021-r19,313
supercont2.1,476358,479514,IES-00022-r15,3157
supercont2.1,483383,484513,IES-00023-r12,1131
supercont2.1,530758,532388,IES-00024-r16,1631
supercont2.1,561257,564069,IES-00025-r13,2813
supercont2.1,573534,574836,IES-00026-r17,1303
supercont2.1,618011,619515,IES-00027-r13,1505
supercont2.1,635838,637691,IES-00028-r15,1854
supercont2.1,682179,683947,IES-00029-r14,1769
supercont2.1,711981,712602,IES-00030-r10,622
supercont2.1,714929,716905,IES-00031-r20,1977
supercont2.1,753255,755591,IES-00032-r18,2337
supercont2.1,763226,763876,IES-00033-r17,651
supercont2.1,821776,822488,IES-00034-r7,713
supercont2.1,899749,901051,IES-00035-r10,1303
supercont2.1,967216,967587,IES-00036-r19,372
supercont2.1,1012150,1015673,IES-00037-r9,3524
supercont2.1,1018653,1025356,IES-00038-r16,6704
supercont2.1,1060770,1061562,IES-00039-r16,793
supercont2.1,1089540,1092337,IES-00040-r15,2798
supercont2.1,1094679,1096274,IES-00041-r18,1596
supercont2.1,1099442,1099785,IES-00042-r12,344
supercont2.1,1105737,1109547,IES-00043-r8,3811
supercont2.1,1126719,1128186,IES-00044-r12,1468
supercont2.1,1155721,1156869,IES-00045-r16,1149
supercont2.1,1161565,1162378,IES-00046-r14,814
supercont2.1,1178280,1178736,IES-00047-r14,457
supercont2.1,1200563,1200793,IES-00048-r12,231
supercont2.1,1224146,1224761,IES-00049-r12,616
supercont2.1,1260178,1262118,IES-00050-r7,1941
supercont2.1,1292002,1293720,IES-00051-r12,1719
supercont2.1,1296824,1298338,IES-00052-r14,1515
supercont2.1,1321057,1323168,IES-00053-r11,2112
supercont2.1,1329867,1331144,IES-00054-r15,1278
supercont2.1,1337385,1346926,IES-00055-r17,9542
supercont2.1,1351892,1352713,IES-00056-r16,822
supercont2.1,1370693,1372864,IES-00057-r12,2172
supercont2.1,1411163,1417882,IES-00058-r13,6720
supercont2.1,1429509,1429785,IES-00059-r21,277
supercont2.1,1447331,1447884,IES-00060-r15,554
supercont2.1,1470792,1473098,IES-00061-r20,2307
supercont2.1,1490236,1491148,IES-00062-r8,913
supercont2.1,1494772,1496240,IES-00063-r15,1469
supercont2.1,1504387,1506160,IES-00064-r15,1774
supercont2.1,1533391,1535439,IES-00065-r10,2049
supercont2.1,1597385,1600961,IES-00066-r15,3577
supercont2.1,1664474,1668527,IES-00067-r16,4054
supercont2.1,1706998,1710511,IES-00068-r12,3514
supercont2.1,1738036,1740624,IES-00069-r15,2589
supercont2.1,1765012,1765342,IES-00070-r7,331
supercont2.1,1768032,1770424,IES-00071-r17,2393
supercont2.1,1817660,1819691,IES-00072-r14,2032
supercont2.1,1852550,1853064,IES-00073-r19,515
supercont2.1,1860311,1862754,IES-00074-r10,2444
supercont2.1,1875799,1877208,IES-00075-r18,1410
supercont2.1,1893488,1894756,IES-00076-r7,1269
supercont2.1,1913897,1914600,IES-00077-r16,704
supercont2.1,1919025,1920534,IES-00078-r21,1510
supercont2.1,1936435,1938003,IES-00079-r19,1569
supercont2.1,1954935,1957699,IES-00080-r8,2765
supercont2.1,1988405,1990684,IES-00081-r11,2280
supercont2.1,2022881,2025167,IES-00082-r14,2287
supercont2.1,2027233,2029387,IES-00083-r14,2155
supercont2.1,2035824,2039134,IES-00084-r11,3311
supercont2.1,2041209,2044892,IES-00085-r11,3684
supercont2.1,2046593,2049158,IES-00086-r12,2566
supercont2.1,2052609,2057091,IES-00087-r12,4483
supercont2.1,2060779,2062534,IES-00088-r4,1756
supercont2.1,2069631,2071702,IES-00089-r21,2072
supercont2.1,2092172,2093589,IES-00090-r10,1418
supercont2.1,2095733,2096908,IES-00091-r13,1176
supercont2.1,2103352,2104982,IES-00092-r12,1631
supercont2.1,2145022,2146643,IES-00093-r18,1622
